text,star
단편 중편 분량의 보너스 후일담 정도의 아이디어를 어거지로 정식 후속작으로 우겨넣어버리니 캐릭터가 무너지지. 시리즈의 먹칠 까진 아니지만 대미를 장식하기엔 어림 반푼어치도 없음.,0
하.... 5편  기다릴게....,1
기생충 볼려다가 이거봣는데 진짜 선택 잘한거같습니다 감동적이고 따듯해지고 마음이 평온해지는 이번년 최고의 영화,1
"갑자기 우디랑 생이별하는것 같아서 너무 마음이 안좋아요. 3처럼 다같이 똘똘 뭉쳐서 행복했으면 좋겠어요. 픽사 영화 평점에 10점을 주지 않은적은 처음이네요. 언제나 함께하는 패밀리였는데, 우디가 다시 친구들 곁으로...",1
"재밋지만 3편에서 끝났으면 하는 아쉬움이. 장난감은 애들한테 기쁨을 줄때 의미 있다는 우디는 홀랭 자기인생 찾아가고, 보니는 앤디가 우디 잘 챙겨달라 한말은 잊고 우디 내팽겨치고ㅋ 보는 갑자기 나와서는 요즘 유행하는...",1
"개비가 자신의 주인을 찾았듯이, 우리도 수많은 사람들 중에서 어울리는 사람을 찾을 수 있기를",1
돈이 궁했던 픽사는 포키를 만들고 진부한 이야기를 만들었네. 아름답고 슬픈 이별 후 한참의 시간이 흘러 후속작이 나온다는 것에 의심했어야했다. 솔직히 졸작 수준이다.,0
"앤디가 우디 얘기를 할 때, 나도 우디도 앤디가 그리웠다 ㅠㅠ",1
ㅠ저만 엔딩 맘에안드나요 우디만 봐도 슬프고 앤디 너무 그립고 최고의 파트너를 주었는데 이렇게 되다뇨ㅠㅠㅠㅠ알린들은 대사한마디도없었고 너무 기존 친구들을 못살렸어요ㅠㅠ 토이스토리를 극장에서 만날수있는건 너무나도 좋지...,1
포키같은 근본없는 캐릭터 챙긴다고 기존 캐릭터들 공기로 만들어버린게 너무 아쉽다,1
왜 내가 보니랑 우디한테 버림받은 기분이 드는지 우디가 항상 함께 인 토이스토리 일줄 알았는데 모든 면에서 결말이 너무 아쉽고 슬프고 찜찜하다,1
"90년대부터 토이스토리 시리즈를 봤던 사람으로서, 4편은 너무 아쉬웠습니다. 기존의 등장인물들의 캐릭터성이 너무 붕괴됐고, 123편에는 놀라우리만큼 주조연 등장인물들의 출연분량이 비슷했는데 4편에서는 조연들이 그냥아...",0
상상도 못했던 전개.... 토이스토리 1부터 우디의 성장기를 보는 기분이었다.... ㅠㅠㅠ 1편에서 새 장난감에게 질투하고 못되게 굴던 녀석이... 우디.... ㅠㅠㅠㅠ 넌 나의 친구야.... ㅠㅠㅠㅠ,1
정말 재밌게 잘봤고 훌륭하다고 생각하지만 전 작과 같이 놓고 봤을때 역대급이라고는 못할 것 같습니다. 전 작캐릭터들의 비중이 너무 아쉬웠어요,1
우디랑버즈 둘이 베프인데도 너무 담담하게 헤어지는것같구 다른 귀여미인형들의 활약이 안나와서 아쉬웠다ㅜㅜ,1
"자,  토이스토리 덕후분들은 손수건을 무조건 준비합니다. 안그러면 소중하게 구매한 토이스토리 팝콘통에 눈물 다 채워갈 지 모르니까요ㅠㅠ 사랑해 토이스토리♥",1
평식이가 7점 줬다. 보러가자,1
모든게 나쁘지 않았어요. 저같은 경우는 오히려 3쪽의 엔딩이 더 마음에 들었었지만 4의 엔딩도 나쁘지 않았어요! 다만 다른 장난감 친구들의 비중이 적어 아쉬웠기도 하네요..ㅠㅠ,1
포크찾다가 영화 끝나버린다....,0
우디의 삶을 존중해 사랑해 우디야,1
우디 행복해야해...,1
박수칠때 떠나라는 말이 있듯 토이스토리 시리즈는 3에서 끝냈어야했다고본다.꿈도 희망도 개연성도없고 흐지부지된 느낌? 새로운 캐릭터들 급 등장으로 오리지널캐릭터에 향수를 가지고있는 사람으로썬 어리둥절하고 집중도 안됨....,0
어벤져스에 버금가는 완벽한 엔딩이 또나왔다.,1
그래 우디 너가 행복하면 된 거야 1부터 함께 해온 친구들부터 4에서 새로 만난 친구들까지 모두 행복했으면 ! 고생했고 고마웠어,1
재밋는데 보니캐릭터 진짜 짜증나네... 3편에서는 오만 불쌍한 표정으로 앤디한테서 우디 가져가더니 결국 잊혀지게 둬버리네 ㅡㅡ,1
토이스토리를 극장에서 만난다는 것 자체가 보면서도 실삼이 나지 않아 심장이 두근두근했다. 나를 이토록 무조건적으로 위해주고 사랑해주는 마음들이 느껴져 자꾸만 영화를 보는내내 주책없이 눈물이 났다,1
우디보고 '내 카우보이다' 했으면서ㅠㅠ 그럴거면 앤디랑 같이가게 놔두지ㅠㅠㅠㅜ,1
어릴적부터 봤던 토이스토리였는데...우디가 떠나가듯이 나의 어린 시절도 이제 떠나가고 우디처럼 자기의 삶을 찾아가야지!! 이렇게 생각하니 정말 어릴적 모습이 영화처럼 지나가 슬프네요...,1
앤디랑 우디랑 다시 만나는걸로 5편 ㄱ,1
마지막 로고 쿠키가 화룡점정!,1
개비개비 지키던 4명의 처키인형들은 희생만하고 그곳에서 남아있는 모습이 너무안타까웠습니다  그들도 새로운 환경으로 같이보냈다면 어땟을까요,1
모든 사람들 마음 한편에는 우리가 잊어버린 우디가 존재한다,1
이게 토이스토리라고? PC스토리가 아니라?,0
자신의 행복을 찾아 떠나요. 우리 모두,1
"시리즈물로 앞의 3편과 비교를 할 수 밖에 없는 영화.기존의 독특하고 개성있는 장난감들의 비중이 없어져서 아쉽기만 하다.악당도 나름의 사정이 있다고 하지만 비호감에서 호감이 되지는 않았으며, 그 동안의 앤디의 애정과...",1
토끼 두마리 너무 웃겨요 ㅋㅋㅋㅋ바이바이 장난감들..,1
저는 3까지만 기억할게요. 3에서 앤디로 마무리된게 더 내용도 감정도 자연스러웠는데....솔직히 보니 하는거 보고 괜히 본느낌 들었어요. 이럴려고 앤디한테 우디 뺏었니..?,0
한 3년후에 토이스토리5도 만들어주세요ㅠㅠ,1
우디 앤디한테 돌려주세요,1
나도 모르게 눈물이 또르르르... 조조로 본... 이른 아침 그 자리에 함께 있던... 얼굴도 이름도 모르는 모두가 같은 마음이었을 거라 생각하며... 아직도 여운이 가시질 않는다. 그들 모두의 새로운 출발을 가슴에...,1
워낙명작이라 캐릭터만으로도 사랑스러운 영화. 하지만 보핍의 캐붕느낌을 지울수없었음ㅜ버즈덕후로써 버즈의 활약이 적어서 아쉬웠음.. 그리고 우디는 영원한 앤디꺼 라는 감상평과함께 5편에선 서로 다시만났으면 하고 바래봄,1
"어른이 되고 나니, 우디가 놓인 상황에 나를 투영시킬 수 있었다. 그러면서도 나와는 달리 아낌없이 주는 우디의 순수함이 너무 포근하고 따뜻해서 눈물이 나왔다.",1
"이미 1,2,3 에서 전부 다뤘던 주제를 재탕하는 뻔뻔함도 실망이지만,  우디는 스스로도 납득못하는 이유로 포크만 쫒아다니고 , 리더쉽 강했던 버즈는 자기 버튼만 눌러대는 바보로 만들었다. 1,2,3편의 모든 설정...",0
잘가 우디고마웠어 내 지난 어린날,1
"Yes, I Canada!!!",1
기대를 너무 많이했나 ㅠㅠ 전작에 비해 별로였음,1
"무매력이 되어버린 캐릭터들, 기억에 남지 않는 스토리, 당혹스러운 결말 내가 알던 토이스토리가 아닌것같다",1
"sns에서 눈물을엄청 뽑는다고 하던데 저는 개인적으로 3편이 더 감동적이었던것같아요. 케릭터도 초반에는 포키, 중반에 개비, 후반에 보핍 이렇게 나열식으로 나와서 정신없었음. 하나에 집중해서 깊은내용이었으면 더 좋았...",1
친구의 새로운 출발을 응원해야할까 아쉬워해야할까 3만큼이나 가슴이 먹먹하다 5나와 또 보고싶다,1
5살 김현종입니다.엄마 닮아 토이스토리 덕후인데엄마가 옆에서 울었어요..,1
"아름답게 마무리된 3편으로 끝일줄 알았는데, 4편 등장. 평점이 너무 좋아 기대했는데 글쎄.. 우디를 방목하며 앞으로도 후속편을 계속 내겠다는 픽사의 강한 의지를 느끼게 해준작품. 자유를 찾는 장난감? 나중엔 사람이...",0
보는 내내 너무 행복했습니다. 웃고 울고 다시 웃다보니 끝났습니다. 토이스토리와 함께해서 행복했습니다 ㅎㅎ,1
"몇번을 봐야 그만봐야겠다는 생각이 들까ㅠㅠ 오래오래 상영해주세요, 퇴근하고나면 지친 몸 풀어주러 매일 보러가고싶습니다ㅠㅠ",1
예스 위 캐나다 ㅋㅋㅋㅋ,1
엔딩은 너무나 좋다. 허나 나머지 캐릭터 특히 버즈가 거의 조연급으로 나와서 아쉬웠다. 4편만을 본 관객들은 우디의 선택이 얼마나 큰 결정인지 와닿지 않을것 같다.,1
할머니 키 뺏기에서 웃겨 죽는줄ㅋㅋㅋ,1
"세상에 모든 앤디와 우디에게, 그리고 길 잃은 장난감들에게 보내는 헌사ㅜㅜㅜ",1
3편이 너무 완벽하게 끝나서 걱정했는데 괜한 걱정한듯ㅋㅋㅋ 우디가 선택한 길은 언제나 응원함ㅜㅜ 안녕 토이스토리!,1
난 단 한번도 픽사를 의심한 적이 없다,1
"박수칠 때 떠났어야 했다. 박물관에 전시되는 것 보다 앤디와 노는 것을, 앤디의 대학에 따라가는 것 보다 보니와 노는 것을 택한 우디가 아니었나? 장난감은 아이와 놀 때 가장 가치있고 행복하다는 토이스토리의 가장 큰...",0
디즈니 넘 한거 아니냐... 어벤져스 알라딘 토이스토리4  스파이더맨 라이온킹 이러다 극장에서  살겠네..,1
후속작들이 이렇게나 진한 여운을 주는게 쉽진않은데정말 대단한 시리즈인것같습니다.,1
공대생을 울리는 것은 과제가 아닌 토이스토리였다,1
3편을 잘마무리해서 더이상 안나올줄 알았는데..나왔다..4편..근데 더 잘만들었다..이게 말이되냐,1
"1,2,3편에 비교하자면 완성도면에서 최고라고 평하긴 어렵네요. 결말까지 가는 개연성도 다소 억지스럽구요. 뜬금없지만 영화의 완성도보다 관련 굿즈의 완성도가 더 높습니다.",1
앤디가 땅을 치고 후회할 영화. 3부작의 그 어떤것도 따라잡지 못했고 시대를 표현하고자 하는 욕심에 토이스토리라는 장르를 버려버렸다,1
내가 눈물 쏟을 건 알았지만 이런 엔딩일 줄 몰랐다... 모두에게 최선인 선택을 했구나,1
우디의 매력을 다 죽여놨다,0
"We love you to infinity, and beyond.",1
다른 시리즈에 비해 개연성이 떨어진다... 포키는 답답하고 개비개비는 시드 농부아저씨 랏소에 비해 1도 빌런같지 않고 보핍은 뜬금 없이 걸크러쉬 컨셉.. 나머지 장난감들은 분량도 없고 우디 개비개비 보핍 한테 올인....,1
재밌는데 뭔가 찜찜해 5편 나와서 이 찜찜함이 해소됐으면 좋겠네...ㅠ,1
보니 아빠가 불쌍해 ㅠㅠ,1
123을 봤다면 꼭보세요,1
눈물 장전하고 갔는데 결국 오프닝 ost에서만 울컥한 걸 보니 난 앤디의 토이스토리가 보고싶었는듯...,0
토이스토리 그 자체로 좋지만 너무 너무 아쉬운  영화였음.. 전작 장남감들 비중 진짜 10%도 안되는거 같고 보니는 앤디가 제일 아끼는 장난감이라고 우디를 소개했는데도 불구하고 방치해버림 장난감 친구들은  우디를 너...,1
"감독이 정말 토이스토리 팬이 맞는지, 5편 안 만들어주면 평생 저주할거니까 그렇게 아시고 9년 기다렸는데 앞으로 10년 더 못기다릴거 없으니 시간 있는 만큼 드릴테니까 4편 보고 나왔을때 느껴지는 이 허전함과 실망감...",0
아니 저 친구들 함께 한 세월이 몇인데 우디를 이렇게 쉽게 보내주냐 버즈 너라도 한번쯤은 매달려보지ㅠㅠㅠㅠ우디 새 삶 찾은 건 좋지만 나만 아쉬운거야???,1
토이스토리 팬인데 조금 아쉬웠어요... 개인적으로 3 앤딩을 넘는 감동은 아니었네요,1
"투닥투닥 포테이토 부부, 호들갑 랙스, 터프한 햄-슬링키, 삼총사 알린, 우디가 나서면 주저않고 따르던 제시&불스아이-버즈..그 모습들을 볼수없어 아쉬웠습니다ㅜ항상 우르르 몰려다니며 환장할 팀워크를 보여줬는데 4는 ...",1
처음 앤디 나올때 왜 눈물이 났는지 모르겠음..더이상 앤디의 장난감들이 아니라 보니의 장난감이라는게 아쉽고 나도 앤디가 그리워짐,1
진짜 토이스토리 덕후들은 안다 4편은 개망작이다 이때까지 이어지던  장난감은 주인 옆에 있을때 제일 행복하다는 설정을 그냥 발로 걷어차버린게 제일 실망스러웠음,0
버즈랑 우디 헤어진 거 너무 슬퍼ㅠㅠ 둘이 얼마나 끈끈한 우정이였는데.. 넌 나의 친구야 노래 나올 때 눈물나더라,1
